name,docking score,label,split
ZINC15155873_5739,-0.71,0,train
ZINC32795224_4438,-4.721,0,train
ZINC37581870_1784,-5.028,0,train
ZINC35664445_2920,-4.686,0,train
ZINC39667559_3687,-3.18,0,train
ZINC42016669_1843,-6.629,0,train
ZINC04063481_1368,-5.18,0,train
ZINC14111086_2130,-6.079,0,train
ZINC62828704_1665,-4.867,0,train
ZINC58867739_3640,-6.027,0,train
ZINC48836200_1696,-6.236,0,train
ZINC16503460_5740,-2.541,0,train
ZINC09239229_4313,-4.321,0,train
ZINC39662481_379,-5.98,0,train
ZINC09254735_2277,-5.313,0,train
ZINC13349230_4929,-4.51,0,train
ZINC40688658_3441,-5.894,0,train
ZINC01876431_4641,-5.039,0,train
ZINC20745541_4890,-6.843,0,train
ZINC15946720_3463,-5.834,0,train
ZINC13398013_528,-3.562,0,train
ZINC20806539_2403,-3.002,0,train
ZINC02275208_2566,-5.963,0,train
ZINC35394266_696,-3.986,0,train
ZINC15230737_1995,-4.244,0,train
ZINC38678932_6007,-6.351,0,train
ZINC33043977_3573,-5.372,0,train
ZINC03258698_6082,-4.801,0,train
ZINC06553425_885,-5.128,0,train
ZINC15768464_4620,-4.652,0,train
ZINC44924262_1598,-5.704,0,train
ZINC03142232_2846,-6.004,0,train
ZINC03423478_914,-3.932,0,train
ZINC12609247_2296,-4.512,0,train
ZINC44882327_1199,-5.251,0,train
ZINC44592611_4690,-3.351,0,train
ZINC23590882_5849,-6.168,0,train
ZINC43827430_1747,-7.292,0,train
ZINC04453458_4706,-5.822,0,train
ZINC24827087_5152,-6.371,0,train
ZINC34755944_5243,-5.869,0,train
ZINC16613672_6104,-4.782,0,train
ZINC13041664_1966,-5.508,0,train
ZINC14653746_2958,-4.982,0,train
ZINC19852091_4431,-4.911,0,train
CHEMBL472542_31,-11.348,1,train
ZINC04556313_1315,-6.777,0,train
ZINC64928186_5070,-4.2,0,train
ZINC40345980_4795,-5.72,0,train
ZINC39691345_400,-3.199,0,train
ZINC15675774_4092,-5.318,0,train
ZINC08974444_3798,-6.162,0,train
ZINC02170042_444,-5.952,0,train
ZINC12659586_5135,-4.2,0,train
ZINC34683850_5683,-2.88,0,train
ZINC39686734_397,-5.223,0,train
ZINC30974518_1129,-5.55,0,train
ZINC32971178_5950,-1.953,0,train
ZINC36311773_1187,-4.943,0,train
ZINC00866988_4953,-6.284,0,train
ZINC09159357_2839,-4.75,0,train
ZINC32535448_3013,-4.71,0,train
ZINC35909988_3984,-6.799,0,train
ZINC61365022_3904,-6.173,0,train
ZINC20720052_5847,-3.893,0,train
ZINC61671015_1769,-5.326,0,train
ZINC26053292_2108,-5.748,0,train
ZINC39666225_786,-3.153,0,train
ZINC61900158_235,-6.274,0,train
ZINC24028573_2076,-5.393,0,train
ZINC63373451_505,-5.814,0,train
ZINC09739238_2292,-5.075,0,train
ZINC39980655_35,-5.302,0,train
ZINC35697237_5956,-4.135,0,train
ZINC63182446_4914,-4.685,0,train
ZINC00747466_4565,-5.128,0,train
ZINC12250850_3530,-7.227,0,train
ZINC24352171_2309,-5.837,0,train
ZINC00192786_4769,-6.409,0,train
ZINC30976460_4834,-5.64,0,train
ZINC33825844_4235,-4.693,0,train
ZINC35399281_2841,-4.239,0,train
ZINC57310317_4052,-4.467,0,train
ZINC09236845_2237,-5.507,0,train
ZINC16036757_476,-5.642,0,train
ZINC08455960_2392,-4.786,0,train
ZINC40973220_348,-6.658,0,train
ZINC33575115_5497,-5.448,0,train
ZINC11813971_2137,-4.928,0,train
ZINC39686624_4902,-3.741,0,train
ZINC35300897_2877,-5.467,0,train
ZINC22011600_616,-4.388,0,train
ZINC01389174_5727,-4.12,0,train
ZINC13719730_2753,-4.673,0,train
ZINC10042106_414,-2.182,0,train
ZINC14556924_4123,-6.204,0,train
ZINC36019356_4039,-5.465,0,train
ZINC13204480_1987,-3.85,0,train
ZINC38547663_2925,-4.035,0,train
ZINC08441958_2043,-5.434,0,train
ZINC02518444_2399,-4.539,0,train
ZINC12485510_3154,-5.628,0,train
ZINC40096525_551,-5.436,0,train
ZINC39676560_898,-5.627,0,train
ZINC64589709_2025,-4.918,0,train
ZINC44854616_3949,-6.564,0,train
ZINC33058241_4490,-7.213,0,train
ZINC39684187_5553,-5.951,0,train
ZINC14329256_5332,-6.071,0,train
ZINC12420623_6124,-5.947,0,train
ZINC39575922_333,-6.343,0,train
ZINC63146597_1872,-5.228,0,train
ZINC33010946_4440,-7.184,0,train
ZINC39686586_648,-4.681,0,train
ZINC04565435_1719,-6.746,0,train
ZINC09335516_1981,-2.543,0,train
ZINC33129155_320,-4.94,0,train
ZINC49167792_3837,-6.11,0,train
ZINC36714435_5052,-6.382,0,train
ZINC13355306_5630,-6.221,0,train
ZINC09634070_3045,-1.796,0,train
ZINC33779184_3227,-7.315,0,train
ZINC49152305_4450,-3.52,0,train
ZINC14066156_3255,-4.557,0,train
ZINC35667285_84,-4.686,0,train
ZINC08898054_2898,-5.446,0,train
ZINC08817835_2082,-1.764,0,train
ZINC01118485_2262,-4.055,0,train
ZINC35684478_2685,-6.497,0,train
ZINC39533903_5106,-5.848,0,train
ZINC20833698_2869,-6.155,0,train
ZINC13565560_5481,-5.726,0,train
ZINC08835792_5180,-5.16,0,train
ZINC59170582_5005,-3.831,0,train
ZINC22860147_4030,-3.631,0,train
ZINC12378220_416,-4.226,0,train
ZINC65993688_1557,-5.866,0,train
CHEMBL471329_118,-11.268,1,train
ZINC61603837_1342,-4.703,0,train
